t,u,v,w,p,q,r,phi_deg,theta_deg,psi_deg,h,y,V,alpha_deg,beta_deg,gamma_deg,sink,de_deg,da_deg,dr_deg,dT,theta_cmd_deg,phi_cmd_deg,h_ref,w_cmd,V_cmd,flaring,range
0.000000,18.996097,0.000000,0.374830,0.000000,0.000000,0.000000,0.000000,-0.306791,0.000000,15.474369,10.000000,18.999795,1.130412,0.000000,-1.437203,0.476540,-5.750690,-25.000000,0.000000,0.461038,-3.134766,-11.459156,10.474369,0.471185,18.000000,0,400.000000
0.010000,18.994209,0.001888,0.346361,-0.380298,-0.073218,-0.004746,-0.110695,-0.327900,-0.001438,15.469714,10.000011,18.997367,1.044679,0.005693,-1.372579,0.455054,-4.250690,-23.500000,0.108760,0.461081,-3.282675,-11.467512,10.469395,0.471185,18.000000,0,399.810081
0.020000,18.992932,0.002904,0.311121,-0.702641,-0.130812,-0.007376,-0.422403,-0.386477,-0.004976,15.465254,10.000042,18.995480,0.938472,0.008758,-1.324949,0.439196,-2.750690,-22.000000,0.169041,0.461071,-3.391997,-11.473434,10.464423,0.471185,18.000000,0,399.620177
0.030000,18.992293,0.002587,0.272121,-0.972239,-0.172968,-0.008270,-0.903441,-0.473619,-0.009514,15.460936,10.000091,18.994242,0.820877,0.007802,-1.294496,0.429030,-1.250690,-20.500000,0.189535,0.460996,-3.462269,-11.474194,10.459450,0.471185,18.000000,0,399.430283
0.040000,18.992286,0.000571,0.232155,-1.193832,-0.199956,-0.007760,-1.524975,-0.580554,-0.014152,15.456708,10.000149,18.993705,0.700329,0.001722,-1.280884,0.424484,0.249310,-19.000000,0.177846,0.460851,-3.493954,-11.467583,10.454478,0.471185,18.000000,0,399.240393
0.050000,18.992869,-0.003424,0.193796,-1.371728,-0.212120,-0.006135,-2.260757,-0.698688,-0.018170,15.452518,10.000209,18.993858,0.584603,-0.010330,-1.283290,0.425366,1.749310,-17.500000,0.140608,0.460637,-3.488333,-11.452181,10.449505,0.471185,18.000000,0,399.050502
0.060000,18.993968,-0.009604,0.159396,-1.509847,-0.209873,-0.003647,-3.086896,-0.819641,-0.021001,15.448317,10.000258,18.994639,0.480812,-0.028971,-1.300453,0.431374,3.249310,-16.000000,0.083593,0.460360,-3.447472,-11.427498,10.444533,0.471185,18.000000,0,398.860605
0.070000,18.995480,-0.018108,0.131095,-1.611758,-0.193688,-0.000515,-3.981643,-0.935290,-0.022215,15.444056,10.000284,18.995941,0.395414,-0.054619,-1.330704,0.442085,4.136669,-14.500000,0.011803,0.460031,-3.374236,-11.394006,10.439560,0.471185,18.000000,0,398.670697
0.080000,18.997288,-0.029017,0.109375,-1.680695,-0.169220,0.003077,-4.925195,-1.039272,-0.021496,15.439701,10.000273,18.997625,0.329872,-0.087513,-1.369144,0.456012,3.595367,-13.000000,-0.070518,0.459663,-3.278834,-11.352605,10.434586,0.471185,18.000000,0,398.480776
0.090000,18.999308,-0.042356,0.091821,-1.719580,-0.148852,0.006965,-5.899514,-1.130404,-0.018626,15.435235,10.000208,18.999577,0.276900,-0.127730,-1.407304,0.470488,3.216461,-11.500000,-0.159615,0.459268,-3.179596,-11.303504,10.429613,0.471185,18.000000,0,398.290839
0.100000,19.001505,-0.058103,0.077834,-1.731073,-0.131327,0.010978,-6.888155,-1.210675,-0.013486,15.430657,10.000075,19.001754,0.234695,-0.175197,-1.445369,0.485699,2.952145,-10.000000,-0.251601,0.458849,-3.075239,-11.247398,10.424639,0.471185,18.000000,0,398.100884
0.110000,19.003849,-0.076190,0.066960,-1.717601,-0.115787,0.014974,-7.876131,-1.281468,-0.006046,15.425966,9.999857,19.004120,0.201879,-0.229708,-1.483347,0.501751,2.769340,-8.500000,-0.343177,0.458412,-2.965038,-11.185059,10.419664,0.471185,18.000000,0,397.910910
0.120000,19.006308,-0.096514,0.058842,-1.681379,-0.101643,0.018830,-8.849781,-1.343752,0.003650,15.421161,9.999538,19.006644,0.177382,-0.290944,-1.521134,0.518682,2.644816,-7.000000,-0.431554,0.457958,-2.848727,-11.117307,10.414689,0.471185,18.000000,0,397.720916
0.130000,19.008855,-0.118935,0.053197,-1.624431,-0.088499,0.022445,-9.796660,-1.398215,0.015490,15.416241,9.999102,19.009301,0.160343,-0.358485,-1.558558,0.536472,2.561935,-5.500000,-0.514391,0.457491,-2.726440,-11.044975,10.409713,0.471185,18.000000,0,397.530902
0.140000,19.011462,-0.143288,0.049789,-1.548606,-0.076087,0.025732,-10.705429,-1.445352,0.029313,15.411207,9.998534,19.012067,0.150052,-0.431825,-1.595404,0.555051,2.508499,-4.000000,-0.589740,0.457012,-2.598667,-10.968879,10.404737,0.471185,18.000000,0,397.340866
0.150000,19.014105,-0.169381,0.048419,-1.455591,-0.064235,0.028623,-11.565763,-1.485535,0.044910,15.406059,9.997816,19.014921,0.145901,-0.510386,-1.631436,0.574300,2.475324,-2.500000,-0.656001,0.456523,-2.466221,-10.889792,10.399760,0.471185,18.000000,0,397.150809
0.160000,19.016759,-0.197002,0.048906,-1.346932,-0.052844,0.031062,-12.368260,-1.519056,0.062038,15.400800,9.996936,19.017843,0.147350,-0.593525,-1.666406,0.594060,2.455315,-1.000000,-0.711879,0.456028,-2.330205,-10.808425,10.394783,0.471185,18.000000,0,396.960730
