# FDC 1.2 manual fig. 10.13, SOLID (low-power) trimmed-flight elevator
# curve, pixel-digitized from a 400-dpi render of the manual PDF (frame-
# calibrated axes; bottom-most >=2px dark run per column, robust outlier
# rejection). Digitization uncertainty ~0.1 deg + the scan itself.
V,minus_de_deg
32.568,7.016
32.687,6.913
32.807,6.811
32.926,6.708
33.046,6.606
33.165,6.504
33.285,6.401
33.404,6.299
33.524,6.190
33.643,6.081
33.762,5.979
33.882,5.877
34.001,5.774
34.121,5.672
34.240,5.569
34.360,5.467
34.479,5.365
34.599,5.262
34.718,5.154
34.837,5.045
34.957,4.942
35.116,4.840
35.295,4.738
35.455,4.648
35.574,4.392
35.693,4.507
35.873,4.405
35.992,4.328
36.171,4.226
36.330,4.136
36.490,4.047
36.609,3.970
36.788,3.867
36.967,3.765
37.127,3.676
37.286,3.586
37.405,3.509
37.664,3.381
37.923,3.266
38.182,3.151
38.421,3.048
38.679,2.933
38.938,2.818
39.197,2.703
39.456,2.588
39.715,2.473
39.973,2.357
40.232,2.268
40.531,2.165
40.829,2.063
41.108,1.980
41.327,1.897
41.586,1.807
41.845,1.718
42.143,1.615
42.342,1.551
42.462,1.641
42.681,1.449
42.960,1.372
43.278,1.282
43.616,1.193
43.895,1.116
44.174,1.039
44.453,0.963
44.751,0.886
45.030,0.809
45.448,0.732
45.866,0.655
46.204,0.591
46.483,0.540
46.762,0.489
47.040,0.438
47.459,0.361
47.877,0.284
48.295,0.207
48.713,0.131
49.131,0.054
49.549,-0.023
49.967,-0.100
50.325,-0.151
50.664,-0.202
51.002,-0.253
51.281,-0.292
51.639,-0.343
51.977,-0.394
52.336,-0.445
52.754,-0.509
53.112,-0.560
53.470,-0.612
53.829,-0.663
54.247,-0.727
54.526,-0.765
54.884,-0.816
55.302,-0.855
55.859,-0.893
56.277,-0.919
56.835,-0.957
57.233,-0.983
57.790,-1.021
58.188,-1.047
58.607,-1.072
59.164,-1.111
59.562,-1.136
