Re,alpha_deg,CL,CD,CM,confidence
150000,-8.00,-0.60516,0.039154,-0.06492,0.960
150000,-7.50,-0.54160,0.033239,-0.07113,0.973
150000,-7.00,-0.46910,0.029445,-0.07663,0.976
150000,-6.50,-0.39689,0.026872,-0.08107,0.977
150000,-6.00,-0.32566,0.024943,-0.08476,0.978
150000,-5.50,-0.25262,0.023360,-0.08835,0.978
150000,-5.00,-0.17671,0.021967,-0.09217,0.978
150000,-4.50,-0.09974,0.020727,-0.09603,0.977
150000,-4.00,-0.02457,0.019649,-0.09944,0.976
150000,-3.50,0.04626,0.018649,-0.10196,0.976
150000,-3.00,0.11254,0.017665,-0.10357,0.977
150000,-2.50,0.17677,0.016723,-0.10463,0.979
150000,-2.00,0.23884,0.015847,-0.10527,0.980
150000,-1.50,0.29593,0.015057,-0.10502,0.982
150000,-1.00,0.34465,0.014005,-0.10193,0.984
150000,-0.50,0.41441,0.013248,-0.10219,0.986
150000,0.00,0.51181,0.013136,-0.10920,0.989
150000,0.50,0.56372,0.013031,-0.10756,0.991
150000,1.00,0.61029,0.013179,-0.10531,0.993
150000,1.50,0.65947,0.013418,-0.10394,0.994
150000,2.00,0.71053,0.013715,-0.10309,0.995
150000,2.50,0.76227,0.014067,-0.10236,0.996
150000,3.00,0.81385,0.014470,-0.10155,0.996
150000,3.50,0.86502,0.014914,-0.10060,0.996
150000,4.00,0.91575,0.015393,-0.09956,0.995
150000,4.50,0.96609,0.015902,-0.09843,0.994
150000,5.00,1.01612,0.016444,-0.09721,0.993
150000,5.50,1.06577,0.017011,-0.09589,0.993
150000,6.00,1.11475,0.017591,-0.09443,0.994
150000,6.50,1.16261,0.018172,-0.09276,0.995
150000,7.00,1.20864,0.018741,-0.09078,0.995
150000,7.50,1.25190,0.019292,-0.08838,0.996
150000,8.00,1.29133,0.019834,-0.08539,0.996
150000,8.50,1.32583,0.020391,-0.08164,0.995
150000,9.00,1.35394,0.021034,-0.07691,0.995
150000,9.50,1.37326,0.021969,-0.07084,0.995
150000,10.00,1.38211,0.023527,-0.06353,0.995
150000,10.50,1.38434,0.025776,-0.05621,0.995
150000,11.00,1.38554,0.028622,-0.04995,0.994
150000,11.50,1.38752,0.032024,-0.04487,0.994
150000,12.00,1.38928,0.035934,-0.04075,0.994
150000,12.50,1.39072,0.040239,-0.03734,0.994
150000,13.00,1.39272,0.044771,-0.03450,0.994
150000,13.50,1.39599,0.049375,-0.03213,0.993
150000,14.00,1.40099,0.053952,-0.03014,0.993
150000,14.50,1.40805,0.058459,-0.02844,0.993
150000,15.00,1.41713,0.062877,-0.02697,0.992
150000,15.50,1.42780,0.067206,-0.02567,0.991
150000,16.00,1.43918,0.071521,-0.02455,0.989
150000,16.50,1.45004,0.076065,-0.02368,0.988
150000,17.00,1.45887,0.081153,-0.02324,0.988
150000,17.50,1.46403,0.086985,-0.02348,0.988
150000,18.00,1.46335,0.093713,-0.02465,0.988
150000,18.50,1.45434,0.101681,-0.02692,0.987
150000,19.00,1.43664,0.111470,-0.03037,0.984
150000,19.50,1.41431,0.123471,-0.03489,0.974
150000,20.00,1.39049,0.137466,-0.04040,0.941
150000,20.50,1.35712,0.151509,-0.04818,0.839
150000,21.00,1.27141,0.166979,-0.06349,0.585
150000,21.50,1.07131,0.234804,-0.09535,0.352
150000,22.00,1.01397,0.258407,-0.11944,0.318
150000,22.50,1.01672,0.259071,-0.12649,0.363
150000,23.00,1.01749,0.266164,-0.12926,0.407
150000,23.50,1.02403,0.272950,-0.13259,0.418
150000,24.00,1.03593,0.278741,-0.13650,0.384
200000,-8.00,-0.53389,0.027491,-0.08140,0.976
200000,-7.50,-0.46435,0.025008,-0.08551,0.977
200000,-7.00,-0.39588,0.023063,-0.08900,0.978
200000,-6.50,-0.32595,0.021451,-0.09230,0.978
200000,-6.00,-0.25371,0.020031,-0.09575,0.978
200000,-5.50,-0.18046,0.018752,-0.09925,0.977
200000,-5.00,-0.10882,0.017599,-0.10231,0.977
200000,-4.50,-0.04092,0.016569,-0.10450,0.976
200000,-4.00,0.02311,0.015674,-0.10577,0.977
200000,-3.50,0.08457,0.014870,-0.10635,0.977
200000,-3.00,0.14423,0.014140,-0.10648,0.979
200000,-2.50,0.20232,0.013506,-0.10633,0.981
200000,-2.00,0.25864,0.012937,-0.10590,0.983
200000,-1.50,0.31166,0.012397,-0.10508,0.984
200000,-1.00,0.36008,0.011715,-0.10287,0.986
200000,-0.50,0.40644,0.010892,-0.09899,0.987
200000,0.00,0.49677,0.010903,-0.10443,0.988
200000,0.50,0.57250,0.010941,-0.10781,0.991
200000,1.00,0.61998,0.011057,-0.10580,0.992
200000,1.50,0.66708,0.011310,-0.10397,0.994
200000,2.00,0.71626,0.011632,-0.10269,0.994
200000,2.50,0.76652,0.011998,-0.10168,0.995
200000,3.00,0.81704,0.012395,-0.10072,0.995
200000,3.50,0.86748,0.012815,-0.09971,0.995
200000,4.00,0.91782,0.013256,-0.09864,0.995
200000,4.50,0.96803,0.013720,-0.09749,0.993
200000,5.00,1.01789,0.014201,-0.09627,0.992
200000,5.50,1.06715,0.014699,-0.09493,0.992
200000,6.00,1.11543,0.015210,-0.09340,0.992
200000,6.50,1.16216,0.015728,-0.09161,0.993
200000,7.00,1.20667,0.016251,-0.08947,0.994
200000,7.50,1.24822,0.016786,-0.08689,0.994
200000,8.00,1.28603,0.017343,-0.08375,0.994
200000,8.50,1.31937,0.017958,-0.07994,0.994
200000,9.00,1.34733,0.018723,-0.07529,0.994
200000,9.50,1.36769,0.019878,-0.06953,0.994
200000,10.00,1.37978,0.021646,-0.06307,0.994
200000,10.50,1.38761,0.023998,-0.05699,0.994
200000,11.00,1.39416,0.026889,-0.05169,0.994
200000,11.50,1.39902,0.030316,-0.04710,0.994
200000,12.00,1.40187,0.034237,-0.04312,0.994
200000,12.50,1.40362,0.038553,-0.03976,0.994
200000,13.00,1.40490,0.043177,-0.03699,0.994
200000,13.50,1.40602,0.048056,-0.03478,0.994
200000,14.00,1.40740,0.053138,-0.03306,0.994
200000,14.50,1.40941,0.058355,-0.03177,0.994
200000,15.00,1.41225,0.063638,-0.03084,0.994
200000,15.50,1.41605,0.068919,-0.03019,0.994
200000,16.00,1.42093,0.074125,-0.02977,0.994
200000,16.50,1.42708,0.079199,-0.02954,0.994
200000,17.00,1.43458,0.084170,-0.02954,0.993
200000,17.50,1.44296,0.089212,-0.02981,0.993
200000,18.00,1.45118,0.094556,-0.03042,0.992
200000,18.50,1.45802,0.100416,-0.03151,0.991
200000,19.00,1.46199,0.106967,-0.03319,0.991
200000,19.50,1.46120,0.114405,-0.03558,0.989
200000,20.00,1.45418,0.123036,-0.03882,0.987
200000,20.50,1.44146,0.133239,-0.04306,0.985
200000,21.00,1.42550,0.145344,-0.04831,0.978
200000,21.50,1.40799,0.159450,-0.05452,0.962
200000,22.00,1.38654,0.173463,-0.06227,0.912
200000,22.50,1.34136,0.183838,-0.07434,0.745
200000,23.00,1.20474,0.224065,-0.09842,0.438
200000,23.50,1.09563,0.275714,-0.12859,0.255
200000,24.00,1.10225,0.279020,-0.14587,0.193
250000,-8.00,-0.48411,0.022814,-0.09079,0.978
250000,-7.50,-0.41652,0.021072,-0.09403,0.979
250000,-7.00,-0.34750,0.019582,-0.09717,0.978
250000,-6.50,-0.27750,0.018259,-0.10025,0.978
250000,-6.00,-0.20821,0.017074,-0.10306,0.977
250000,-5.50,-0.14156,0.016014,-0.10525,0.976
250000,-5.00,-0.07859,0.015059,-0.10659,0.976
250000,-4.50,-0.01866,0.014203,-0.10714,0.976
250000,-4.00,0.03999,0.013472,-0.10725,0.977
250000,-3.50,0.09784,0.012858,-0.10701,0.978
250000,-3.00,0.15424,0.012337,-0.10647,0.980
250000,-2.50,0.20926,0.011890,-0.10582,0.981
250000,-2.00,0.26369,0.011479,-0.10514,0.983
250000,-1.50,0.31670,0.011060,-0.10438,0.983
250000,-1.00,0.36675,0.010554,-0.10298,0.985
250000,-0.50,0.41265,0.009831,-0.09991,0.986
250000,0.00,0.47738,0.009637,-0.09998,0.986
250000,0.50,0.56553,0.009804,-0.10589,0.988
250000,1.00,0.62399,0.009944,-0.10616,0.991
250000,1.50,0.66979,0.010168,-0.10401,0.992
250000,2.00,0.71741,0.010477,-0.10237,0.993
250000,2.50,0.76643,0.010828,-0.10110,0.994
250000,3.00,0.81623,0.011202,-0.10001,0.994
250000,3.50,0.86651,0.011597,-0.09896,0.994
250000,4.00,0.91695,0.012006,-0.09788,0.994
250000,4.50,0.96720,0.012426,-0.09676,0.992
250000,5.00,1.01698,0.012862,-0.09554,0.990
250000,5.50,1.06598,0.013316,-0.09418,0.989
250000,6.00,1.11378,0.013788,-0.09261,0.990
250000,6.50,1.15991,0.014278,-0.09078,0.992
250000,7.00,1.20387,0.014787,-0.08860,0.992
250000,7.50,1.24506,0.015320,-0.08603,0.993
250000,8.00,1.28288,0.015894,-0.08296,0.993
250000,8.50,1.31690,0.016546,-0.07930,0.993
250000,9.00,1.34595,0.017404,-0.07482,0.993
250000,9.50,1.36742,0.018717,-0.06937,0.993
250000,10.00,1.38223,0.020582,-0.06360,0.993
250000,10.50,1.39390,0.022950,-0.05822,0.993
250000,11.00,1.40357,0.025787,-0.05333,0.993
250000,11.50,1.41088,0.029074,-0.04893,0.993
250000,12.00,1.41649,0.032751,-0.04508,0.993
250000,12.50,1.42090,0.036786,-0.04180,0.993
250000,13.00,1.42407,0.041187,-0.03907,0.994
250000,13.50,1.42608,0.045968,-0.03686,0.994
250000,14.00,1.42724,0.051122,-0.03518,0.994
250000,14.50,1.42783,0.056614,-0.03401,0.994
250000,15.00,1.42811,0.062386,-0.03331,0.995
250000,15.50,1.42837,0.068353,-0.03301,0.995
250000,16.00,1.42892,0.074429,-0.03304,0.995
250000,16.50,1.43010,0.080526,-0.03332,0.995
250000,17.00,1.43228,0.086535,-0.03383,0.995
250000,17.50,1.43601,0.092351,-0.03455,0.994
250000,18.00,1.44141,0.097976,-0.03551,0.994
250000,18.50,1.44781,0.103532,-0.03672,0.993
250000,19.00,1.45418,0.109197,-0.03825,0.993
250000,19.50,1.45944,0.115177,-0.04022,0.991
250000,20.00,1.46237,0.121720,-0.04269,0.990
250000,20.50,1.46185,0.129144,-0.04577,0.988
250000,21.00,1.45758,0.137722,-0.04955,0.986
250000,21.50,1.45002,0.147664,-0.05417,0.985
250000,22.00,1.43990,0.159299,-0.05958,0.982
250000,22.50,1.42866,0.172885,-0.06545,0.973
250000,23.00,1.41687,0.187517,-0.07172,0.942
250000,23.50,1.39744,0.199207,-0.07971,0.828
250000,24.00,1.33272,0.213343,-0.09382,0.497
300000,-8.00,-0.44960,0.019964,-0.09732,0.980
300000,-7.50,-0.38145,0.018530,-0.10029,0.979
300000,-7.00,-0.31349,0.017266,-0.10303,0.979
300000,-6.50,-0.24742,0.016147,-0.10526,0.978
300000,-6.00,-0.18443,0.015154,-0.10678,0.977
300000,-5.50,-0.12469,0.014263,-0.10755,0.976
300000,-5.00,-0.06741,0.013454,-0.10770,0.977
300000,-4.50,-0.01098,0.012731,-0.10745,0.977
300000,-4.00,0.04559,0.012135,-0.10705,0.978
300000,-3.50,0.10174,0.011655,-0.10648,0.978
300000,-3.00,0.15690,0.011253,-0.10577,0.979
300000,-2.50,0.21121,0.010902,-0.10509,0.980
300000,-2.00,0.26535,0.010579,-0.10447,0.981
300000,-1.50,0.31907,0.010245,-0.10384,0.981
300000,-1.00,0.37053,0.009853,-0.10294,0.982
300000,-0.50,0.41877,0.009282,-0.10098,0.983
300000,0.00,0.46837,0.008882,-0.09823,0.984
300000,0.50,0.55164,0.009032,-0.10294,0.985
300000,1.00,0.62272,0.009229,-0.10580,0.988
300000,1.50,0.67075,0.009436,-0.10410,0.991
